Industry,Skill Set,Skill,Skill Type,,,,
Cyber Secuirty,Programming/Technical,PR,ELK,,,,
Cyber Secuirty,Programming/Technical,PR,Suricata,,,,
Cyber Secuirty,Programming/Technical,PR,Packet processing,,,,
Cyber Secuirty,Programming/Technical,PR,Docker,,,,
Cyber Secuirty,Programming/Technical,PR,Apache Jena,,,,
Cyber Secuirty,Programming/Technical,PR,Apache Mesos,,,,
Cyber Secuirty,Programming/Technical,PR,Python,,,,
Cyber Secuirty,Programming/Technical,PR,R,,,,
Cyber Secuirty,Programming/Technical,PR,Ruby,,,,
Cyber Secuirty,Programming/Technical,PR,ETL,,,,
Cyber Secuirty,Business,BU,Developing data models,,,,
Cyber Secuirty,Analysis/Research,AN,Data Analysis,,,,
Cyber Secuirty,Soft Skill,SS,Cyber Threat Knowledge,,,,
Cyber Secuirty,Soft Skill,SS,Global Politics,,,,
Cyber Secuirty,Business,BU,SPSS,,,,
Cyber Secuirty,Soft Skill,SS,Problem solving,,,,
Cyber Secuirty,Programming/Technical,PR,Computer Programming,,,,
Cyber Secuirty,Soft Skill,SS,Meeting deadlines,,,,
Cyber Secuirty,Programming/Technical,PR,C,,,,
Cyber Secuirty,Programming/Technical,PR,C++,,,,
Cyber Secuirty,Programming/Technical,PR,Software Development,,,,
Cyber Secuirty,Programming/Technical,PR,Perl,,,,
Cyber Secuirty,Programming/Technical,PR,Ruby,,,,
Cyber Secuirty,Programming/Technical,PR,Python,,,,
Cyber Secuirty,Soft Skill,SS,Network Protocals,,,,
Cyber Secuirty,Soft Skill,SS,Problem solving,,,,
Cyber Secuirty,Soft Skill,SS,Good communication,,,,
Cyber Secuirty,Soft Skill,SS,Team player,,,,
Cyber Secuirty,Soft Skill,SS,Good organziation,,,,
Cyber Secuirty,Business,BU,Network Protocals,,,,
Finance,Programming/Technical,PR,Security Mechanisms,,,,
Finance,Programming/Technical,PR,Crypographic algorithims,,,,
Finance,Programming/Technical,PR,Malware reverse engineering,,,,
Finance,Analysis/Research,AN,Structure and Unstructured Data,,,,
Finance,Analysis/Research,AN,Visualization,,,,
Finance,Programming/Technical,PR,Data Mining ,,,,
Finance,Programming/Technical,PR,Python,,,,
Finance,Programming/Technical,PR,Pandas,,,,
Finance,Programming/Technical,PR,Numpy,,,,
Finance,Programming/Technical,PR,Java,,,,
Finance,Programming/Technical,PR,Mapforce,,,,
Finance,Programming/Technical,PR,Analytical Methods,,,,
Finance,Programming/Technical,PR,Database Management,,,,
Finance,Analysis/Research,AN,Data Cleansing,,,,
Finance,Programming/Technical,PR,JavaScript,,,,
Finance,Soft Skill,SS,Good Communication,,,,
Finance,Programming/Technical,PR,Database Modeling,,,,
Finance,Programming/Technical,PR,XML,,,,
Finance,Mathematics,MAT,Statistics,,,,
Finance,Programming/Technical,PR,Data Mining ,,,,
Finance,Programming/Technical,PR,H20.ai,,,,
Finance,Programming/Technical,PR,Python,,,,
Finance,Programming/Technical,PR,Java,,,,
Finance,Programming/Technical,PR,Scala,,,,
Finance,Programming/Technical,PR,C++,,,,
Finance,Programming/Technical,PR,R,,,,
Finance,Programming/Technical,PR,SQL,,,,
Finance,Business,BU,Deadline Management,,,,
Finance,Soft Skill,SS,Work Independantly,,,,
Finance,Programming/Technical,PR,Google Machine Learning,,,,
Finance,Programming/Technical,PR,Build Machine Learning Models,,,,
Finance,Programming/Technical,PR,Develop Cloud Based Infastructure,,,,
Finance,Business,BU,Automating Complex Processes,,,,
Finance,Business,BU,Team Leadership,,,,
Finance,Business,BU,Writing Clearly and Succinctly,,,,
Finance,Programming/Technical,PR,HTML,,,,
Finance,Analysis/Research,AN,Visualization,,,,
Finance,Business,BU,Validate Analytic Procedures,,,,
Finance,Business,BU,Financial Industry Working Knowledge,,,,
Finance,Business,BU,Devlope APIs,,,,
Finance,Analysis/Research,AN,Web Analytics,,,,
Finance,Programming/Technical,PR,Solr,,,,
Finance,Programming/Technical,PR,OWL,,,,
Finance,Programming/Technical,PR,SPARQL,,,,
Finance,Soft Skill,SS,Good Work Ethic,,,,
Finance,Soft Skill,SS,Positive,,,,
Finance,Soft Skill,SS,Friendly,,,,
Finance,Soft Skill,SS,Attention To Detail,,,,
Finance,Soft Skill,SS,Deadline Management,,,,
Finance,Soft Skill,SS,Good Communication,,,,
Finance,Programming/Technical,PR,Git,,,,
Finance,Programming/Technical,PR,Spark ML,,,,
Finance,Programming/Technical,PR,Scikit,,,,
Finance,Programming/Technical,PR,H20.ai,,,,
Finance,Programming/Technical,PR,SQL,,,,
Finance,Programming/Technical,PR,Python,,,,
Finance,Programming/Technical,PR,R,,,,
Finance,Programming/Technical,PR,JavaScript,,,,
Finance,Mathematics,MAT,Statistics,,,,
Finance,Programming/Technical,PR,Build Machine Learning Models,,,,
Finance,Programming/Technical,PR,Ignite,,,,
Finance,Programming/Technical,PR,Spark,,,,
Finance,Programming/Technical,PR,AWS,,,,
Finance,Programming/Technical,PR,Ansible,,,,
Finance,Programming/Technical,PR,Angular,,,,
Finance,Programming/Technical,PR,R,,,,
Finance,Programming/Technical,PR,Hadoop,,,,
Finance,Programming/Technical,PR,Java,,,,
Finance,Programming/Technical,PR,Scala,,,,
